Date/Time,Word Count,de,en,es-ES,pl
2022.12.31-11.50.49,146,0,146,0,0
2022.12.31-11.53.05,144,0,144,0,0
2022.12.31-12.32.09,144,144,144,144,144
2022.12.31-12.44.15,167,144,167,144,144
2022.12.31-12.47.05,167,166,167,166,166
